,density,env,Run,BurnedOut,height,width
0,0.01,0.001,0,0.0,100,100
1,0.01,0.002,1,0.0,100,100
2,0.01,0.003,2,0.0,100,100
3,0.01,0.004,3,0.0,100,100
4,0.01,0.005,4,0.0,100,100
5,0.01,0.006,5,0.0,100,100
6,0.01,0.007,6,0.0,100,100
7,0.01,0.008,7,0.0,100,100
8,0.01,0.009000000000000001,8,0.0,100,100
9,0.01,0.01,9,0.0,100,100
10,0.01,0.011,10,0.01020408163265306,100,100
11,0.01,0.012,11,0.0,100,100
12,0.01,0.013000000000000001,12,0.0,100,100
13,0.01,0.014,13,0.0,100,100
14,0.01,0.015,14,0.018518518518518517,100,100
15,0.01,0.016,15,0.01904761904761905,100,100
16,0.01,0.017,16,0.011111111111111112,100,100
17,0.01,0.018000000000000002,17,0.010309278350515464,100,100
18,0.01,0.019,18,0.0,100,100
19,0.01,0.02,19,0.0,100,100
20,0.01,0.021,20,0.0,100,100
21,0.01,0.022,21,0.0,100,100
22,0.01,0.023,22,0.0,100,100
23,0.01,0.024,23,0.0,100,100
24,0.01,0.025,24,0.0,100,100
25,0.01,0.026000000000000002,25,0.0,100,100
26,0.01,0.027,26,0.0,100,100
27,0.01,0.028,27,0.010416666666666666,100,100
28,0.01,0.029,28,0.0,100,100
29,0.01,0.03,29,0.0,100,100
30,0.01,0.031,30,0.0,100,100
31,0.01,0.032,31,0.0,100,100
32,0.01,0.033,32,0.0,100,100
33,0.01,0.034,33,0.009345794392523364,100,100
34,0.01,0.035,34,0.011363636363636364,100,100
35,0.01,0.036000000000000004,35,0.025,100,100
36,0.01,0.037,36,0.009708737864077669,100,100
37,0.01,0.038,37,0.009259259259259259,100,100
38,0.01,0.039,38,0.025210084033613446,100,100
39,0.01,0.04,39,0.0,100,100
40,0.01,0.041,40,0.010309278350515464,100,100
41,0.01,0.042,41,0.02830188679245283,100,100
42,0.01,0.043000000000000003,42,0.009900990099009901,100,100
43,0.01,0.044,43,0.01904761904761905,100,100
44,0.01,0.045,44,0.0,100,100
45,0.01,0.046,45,0.010416666666666666,100,100
46,0.01,0.047,46,0.0,100,100
47,0.01,0.048,47,0.009523809523809525,100,100
48,0.01,0.049,48,0.0,100,100
49,0.01,0.05,49,0.0125,100,100
50,0.01,0.051000000000000004,50,0.0,100,100
51,0.01,0.052000000000000005,51,0.02040816326530612,100,100
52,0.01,0.053,52,0.0,100,100
53,0.01,0.054,53,0.011111111111111112,100,100
54,0.01,0.055,54,0.010638297872340425,100,100
55,0.01,0.056,55,0.0,100,100
56,0.01,0.057,56,0.028037383177570093,100,100
57,0.01,0.058,57,0.00909090909090909,100,100
58,0.01,0.059000000000000004,58,0.02,100,100
59,0.01,0.06,59,0.021739130434782608,100,100
60,0.01,0.061,60,0.03225806451612903,100,100
61,0.01,0.062,61,0.0,100,100
62,0.01,0.063,62,0.010638297872340425,100,100
63,0.01,0.064,63,0.018518518518518517,100,100
64,0.01,0.065,64,0.033707865168539325,100,100
65,0.01,0.066,65,0.020833333333333332,100,100
66,0.01,0.067,66,0.0,100,100
67,0.01,0.068,67,0.02830188679245283,100,100
68,0.01,0.069,68,0.025,100,100
69,0.01,0.07,69,0.06521739130434782,100,100
70,0.01,0.07100000000000001,70,0.03333333333333333,100,100
71,0.01,0.07200000000000001,71,0.011363636363636364,100,100
72,0.01,0.073,72,0.018518518518518517,100,100
73,0.01,0.074,73,0.038461538461538464,100,100
74,0.01,0.075,74,0.019801980198019802,100,100
75,0.01,0.076,75,0.021052631578947368,100,100
76,0.01,0.077,76,0.0,100,100
77,0.01,0.078,77,0.021052631578947368,100,100
78,0.01,0.079,78,0.008547008547008548,100,100
79,0.01,0.08,79,0.009174311926605505,100,100
80,0.01,0.081,80,0.0,100,100
81,0.01,0.082,81,0.061224489795918366,100,100
82,0.01,0.083,82,0.018691588785046728,100,100
83,0.01,0.084,83,0.03418803418803419,100,100
84,0.01,0.085,84,0.01098901098901099,100,100
85,0.01,0.08600000000000001,85,0.020202020202020204,100,100
86,0.01,0.08700000000000001,86,0.016,100,100
87,0.01,0.088,87,0.030303030303030304,100,100
88,0.01,0.089,88,0.033707865168539325,100,100
89,0.01,0.09,89,0.02830188679245283,100,100
90,0.01,0.091,90,0.0,100,100
91,0.01,0.092,91,0.02631578947368421,100,100
92,0.01,0.093,92,0.02631578947368421,100,100
93,0.01,0.094,93,0.010416666666666666,100,100
94,0.01,0.095,94,0.06363636363636363,100,100
95,0.01,0.096,95,0.05263157894736842,100,100
96,0.01,0.097,96,0.05825242718446602,100,100
97,0.01,0.098,97,0.05555555555555555,100,100
98,0.01,0.099,98,0.010416666666666666,100,100
99,0.01,0.1,99,0.043010752688172046,100,100
100,0.02,0.001,100,0.0,100,100
101,0.02,0.002,101,0.0,100,100
102,0.02,0.003,102,0.0,100,100
103,0.02,0.004,103,0.0,100,100
104,0.02,0.005,104,0.0,100,100
105,0.02,0.006,105,0.0,100,100
106,0.02,0.007,106,0.0,100,100
107,0.02,0.008,107,0.0,100,100
108,0.02,0.009000000000000001,108,0.0,100,100
109,0.02,0.01,109,0.0,100,100
110,0.02,0.011,110,0.0,100,100
111,0.02,0.012,111,0.0,100,100
112,0.02,0.013000000000000001,112,0.0,100,100
113,0.02,0.014,113,0.00966183574879227,100,100
114,0.02,0.015,114,0.0058823529411764705,100,100
115,0.02,0.016,115,0.004310344827586207,100,100
116,0.02,0.017,116,0.0,100,100
117,0.02,0.018000000000000002,117,0.009708737864077669,100,100
118,0.02,0.019,118,0.01,100,100
119,0.02,0.02,119,0.005555555555555556,100,100
120,0.02,0.021,120,0.005208333333333333,100,100
121,0.02,0.022,121,0.0,100,100
122,0.02,0.023,122,0.0,100,100
123,0.02,0.024,123,0.0,100,100
124,0.02,0.025,124,0.004975124378109453,100,100
125,0.02,0.026000000000000002,125,0.005263157894736842,100,100
126,0.02,0.027,126,0.005405405405405406,100,100
127,0.02,0.028,127,0.004629629629629629,100,100
